OrderID,CustomerID,OrderDate,ProductID,Quantity,Discount,PaymentMethod,Status,Age,City,SignupDate,CustomerSegment,ProductName,Category,UnitPrice,PaymentID,PaymentDate,PaymentStatus
500001,103695,2025-08-28,2003,4.0,0.1,Gateway,Completed,36,Qom,2024-03-05,Qom,USB-C Cable,Accessories,9.0,800001,2025-08-28,Paid
500002,107935,2024-05-31,2014,1.0,0.1,Wallet,Completed,49,Kerman,2025-06-04,Kerman,Backpack,Accessories,42.0,800002,2024-05-31,Paid
500003,105141,2025-08-10,2002,1.0,0.2,CardToCard,Completed,36,Tehran,2025-10-19,Tehran,Mechanical Keyboard,Electronics,62.0,800003,2025-08-10,Paid
500004,108780,2024-10-11,2012,1.0,0.1,Gateway,Completed,45,Shiraz,2023-12-07,Shiraz,Office Chair,Home Office,180.0,800004,2024-10-11,Paid
500005,101187,2024-02-19,2008,2.0,0.0,Gateway,Completed,24,Karaj,2023-12-02,Karaj,Phone Case,Accessories,14.0,800005,2024-02-19,Paid
500006,105545,2024-07-16,2011,4.0,0.0,Gateway,Returned,28,Tehran,2024-08-07,Tehran,Desk Lamp,Home Office,32.0,800006,2024-07-16,Failed
500007,106418,2025-10-15,2017,1.0,0.05,Wallet,Completed,23,Isfahan,2023-03-09,Isfahan,HDMI Cable,Accessories,11.0,800007,2025-10-15,Paid
500008,108755,2024-12-03,2014,1.0,0.0,Gateway,Completed,41,Mashhad,2025-11-20,Mashhad,Backpack,Accessories,42.0,800008,2024-12-03,Paid
500009,105133,2025-04-15,2004,1.0,0.1,Gateway,Completed,40,Isfahan,2025-05-04,Isfahan,Power Bank,Electronics,35.0,800009,2025-04-15,Paid
500010,103111,2024-04-28,2014,2.0,0.05,Gateway,Cancelled,43,Mashhad,2024-06-20,Mashhad,Backpack,Accessories,42.0,800010,2024-04-28,Paid
500011,102192,2024-03-21,2004,3.0,0.3,Gateway,Completed,37,Tehran,2023-12-02,Tehran,Power Bank,Electronics,35.0,800011,2024-03-21,Paid
500012,102921,2024-07-25,2001,1.0,0.05,Wallet,Completed,33,Tabriz,2024-01-19,Tabriz,Wireless Mouse,Electronics,18.0,800012,2024-07-25,Paid
500013,101803,2025-02-12,2005,3.0,0.1,CardToCard,Completed,39,Isfahan,2024-10-31,Isfahan,Laptop Stand,Accessories,28.0,800013,2025-02-12,Failed
500014,108853,2026-01-01,2001,2.0,0.05,CardToCard,Completed,44,Tehran,2025-08-14,Tehran,Wireless Mouse,Electronics,18.0,800014,2026-01-01,Paid
500015,102106,2025-10-21,2017,1.0,0.0,Wallet,Completed,31,Tehran,2025-12-10,Tehran,HDMI Cable,Accessories,11.0,800015,2025-10-21,Paid
500016,104175,2024-05-18,2002,3.0,0.0,Gateway,Completed,37,Rasht,2023-05-20,Rasht,Mechanical Keyboard,Electronics,62.0,800016,2024-05-18,Paid
500017,101158,2024-03-02,2001,2.0,0.05,Gateway,Completed,58,Tehran,2024-09-29,Tehran,Wireless Mouse,Electronics,18.0,800017,2024-03-02,Paid
500018,109942,2024-07-13,2013,2.0,0.0,Gateway,Completed,48,Rasht,2025-09-13,Rasht,Notebook,Stationery,7.0,800018,2024-07-13,Paid
500019,104270,2026-01-06,2013,1.0,0.0,CardToCard,Completed,42,Ahvaz,2023-10-20,Ahvaz,Notebook,Stationery,7.0,800019,2026-01-06,Paid
500020,109355,2025-03-21,2017,2.0,0.2,Cash,Completed,37,Rasht,2024-05-03,Rasht,HDMI Cable,Accessories,11.0,800020,2025-03-21,Paid
500021,105138,2025-11-28,2017,2.0,0.0,Gateway,Completed,49,Karaj,2023-05-27,Karaj,HDMI Cable,Accessories,11.0,800021,2025-11-28,Paid
500022,105368,2024-11-15,2013,2.0,0.0,Gateway,Completed,45,Isfahan,2025-09-04,Isfahan,Notebook,Stationery,7.0,800022,2024-11-15,Paid
500023,108138,2025-05-25,2006,1.0,0.2,Cash,Completed,61,Tehran,2025-08-30,Tehran,Webcam,Electronics,48.0,800023,2025-05-25,Paid
500024,107845,2025-05-28,2013,3.0,0.0,Gateway,Completed,26,Tehran,2024-04-23,Tehran,Notebook,Stationery,7.0,800024,2025-05-28,Paid
500025,109039,2025-06-25,2013,1.0,0.15,Gateway,Completed,65,Ahvaz,2025-01-01,Ahvaz,Notebook,Stationery,7.0,800025,2025-06-25,Paid
500026,107998,2025-02-10,2010,2.0,0.05,CardToCard,Completed,34,Mashhad,2024-12-18,Mashhad,Fitness Band,Wearables,55.0,800026,2025-02-10,Paid
500027,108982,2024-07-25,2006,2.0,0.1,Cash,Completed,43,Tehran,2024-05-08,Tehran,Webcam,Electronics,48.0,800027,2024-07-25,Paid
500028,103563,2025-01-05,2002,1.0,0.0,Gateway,Completed,38,Ahvaz,2023-04-11,Ahvaz,Mechanical Keyboard,Electronics,62.0,800028,2025-01-05,Paid
500029,100210,2026-05-29,2002,1.0,0.1,Wallet,Completed,55,tehran,2024-04-13,tehran,Mechanical Keyboard,Electronics,62.0,800029,2026-05-29,Paid
500030,104615,2024-08-23,2019,2.0,0.05,CardToCard,Completed,44,Tehran,2024-04-06,Tehran,Tablet,Electronics,260.0,800030,2024-08-23,Paid
500031,101683,2025-09-18,2011,2.0,0.0,Gateway,Completed,19,Shiraz,2025-04-27,Shiraz,Desk Lamp,Home Office,32.0,800031,2025-09-18,Paid
500032,109032,2026-04-21,2008,2.0,0.0,Wallet,Completed,32,Karaj,2023-10-02,Karaj,Phone Case,Accessories,14.0,800032,2026-04-21,Paid
500033,107365,2025-05-04,2007,3.0,0.05,Gateway,Completed,65,Kerman,2025-12-15,Kerman,Headphones,Electronics,75.0,800033,2025-05-04,Paid
500034,105082,2025-02-26,2004,2.0,0.05,Gateway,Completed,42,Tehran,2025-11-02,Tehran,Power Bank,Electronics,35.0,800034,2025-02-26,Paid
500035,106013,2024-04-14,2008,5.0,0.1,Wallet,Completed,49,Tabriz,2024-07-05,Tabriz,Phone Case,Accessories,14.0,800035,2024-04-14,Paid
500036,103010,2025-10-12,2017,2.0,0.2,Wallet,Completed,56,unknown,2024-05-03,unknown,HDMI Cable,Accessories,11.0,800036,2025-10-12,Refunded
500037,107822,2026-03-10,2013,1.0,0.0,Gateway,Completed,42,Tehran,2023-03-30,Tehran,Notebook,Stationery,7.0,800037,2026-03-10,Paid
500038,101279,2026-06-06,2001,4.0,0.15,Gateway,Completed,18,Karaj,2023-06-04,Karaj,Wireless Mouse,Electronics,18.0,800038,2026-06-06,Paid
500039,107601,2024-06-23,2013,5.0,0.05,Gateway,Returned,24,Karaj,2023-01-29,Karaj,Notebook,Stationery,7.0,800039,2024-06-23,Paid
500040,104265,2026-03-21,2011,4.0,0.1,Gateway,Cancelled,46,Tehran,2025-07-30,Tehran,Desk Lamp,Home Office,32.0,800040,2026-03-21,Paid
500041,104458,2024-11-16,2010,2.0,0.3,Gateway,Completed,19,Tehran,2025-10-27,Tehran,Fitness Band,Wearables,55.0,800041,2024-11-16,Paid
500042,104499,2025-06-19,2006,1.0,0.1,Gateway,Completed,29,Kerman,2023-02-17,Kerman,Webcam,Electronics,48.0,800042,2025-06-19,Paid
500043,109584,2024-07-12,2020,1.0,0.0,Gateway,Completed,18,Tabriz,2024-12-19,Tabriz,Gaming Controller,Gaming,68.0,800043,2024-07-12,Paid
500044,104936,2024-08-02,2005,1.0,0.0,CardToCard,Completed,46,Mashhad,2024-02-02,Mashhad,Laptop Stand,Accessories,28.0,800044,2024-08-02,Paid
500045,100241,2025-06-18,2017,2.0,0.05,unknown,Completed,24,Tehran,2023-12-20,Tehran,HDMI Cable,Accessories,11.0,800045,2025-06-18,Paid
500046,107541,2025-02-22,2002,1.0,0.05,CardToCard,Completed,49,Mashhad,2024-06-02,Mashhad,Mechanical Keyboard,Electronics,62.0,800046,2025-02-22,Paid
500047,109317,2026-05-16,2003,3.0,0.0,CardToCard,Completed,65,Tabriz,2023-12-02,Tabriz,USB-C Cable,Accessories,9.0,800047,2026-05-16,Paid
500048,109778,2024-08-16,2010,2.0,0.0,Cash,Completed,36,Tehran,2023-11-13,Tehran,Fitness Band,Wearables,55.0,800048,2024-08-16,Paid
500049,102735,2026-01-28,2003,2.0,0.0,CardToCard,Completed,39,Qom,2025-01-03,Qom,USB-C Cable,Accessories,9.0,800049,2026-01-28,Paid
500050,103894,2025-02-01,2017,1.0,0.05,Gateway,Completed,27,Tehran,2025-09-25,Tehran,HDMI Cable,Accessories,11.0,800050,2025-02-01,Refunded
500051,102673,2024-04-26,2011,1.0,0.0,Gateway,Completed,58,Rasht,2025-07-26,Rasht,Desk Lamp,Home Office,32.0,800051,2024-04-26,Paid
500052,108100,2024-07-25,2013,3.0,0.1,Wallet,Completed,52,Mashhad,2024-09-17,Mashhad,Notebook,Stationery,7.0,800052,2024-07-25,Paid
500053,106454,2025-10-14,2013,1.0,0.0,Wallet,Completed,50,Tehran,2023-02-26,Tehran,Notebook,Stationery,7.0,800053,2025-10-14,Paid
500054,106300,2025-12-15,2011,1.0,0.2,Wallet,Returned,26,Tabriz,2025-08-07,Tabriz,Desk Lamp,Home Office,32.0,800054,2025-12-15,Paid
500055,109861,2024-02-04,2011,2.0,0.15,Cash,Completed,43,Tehran,2024-11-07,Tehran,Desk Lamp,Home Office,32.0,800055,2024-02-04,Paid
